Id,Family,Genus,Subgenus,Species,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
15,Apidae,Amegilla,(Notomegilla),aeringinosa,0.409308914,0.058426295,0.285210216,0.038488888,0.255620786,-0.08738256,0.162325339,-0.170502908,-0.15262057,-0.194410004,-0.104767597,-0.124871231,-0.12706104,-0.034539462,-0.440535144,-0.054174459,-0.412847457,0.024560581,-0.10982358,0.108519272,-0.053115427,0.147456854,0.08733075,0.146300317,0.152320833,0.097484296,0.048653975,0.044644123
16,Apidae,Amegilla,(Notomegilla),aeringinosa,0.427966464,0.063449206,0.286054078,0.038349833,0.26275998,-0.088601122,0.164821571,-0.163095557,-0.152838279,-0.190576178,-0.117092252,-0.123412343,-0.136449162,-0.03561331,-0.434670921,-0.044588256,-0.405369671,0.026902841,-0.112855788,0.100486961,-0.063483785,0.137463724,0.09099582,0.137762044,0.143083413,0.100450939,0.047078532,0.041021219
17,Apidae,Amegilla,(Notomegilla),aeringinosa,0.43403868,0.060328432,0.280739934,0.033029001,0.263257245,-0.085176382,0.165215117,-0.161765416,-0.152007139,-0.186695509,-0.105408264,-0.128432121,-0.125571519,-0.034360398,-0.442450103,-0.050064655,-0.407285974,0.038416699,-0.116105754,0.099921971,-0.064524355,0.135889307,0.092946935,0.141441884,0.134406243,0.097960296,0.042748956,0.039506891
18,Apidae,Amegilla,(Notomegilla),aeringinosa,0.432651329,0.064379373,0.286667574,0.036900985,0.264728321,-0.084189609,0.167879888,-0.164869635,-0.155870404,-0.189640681,-0.114490657,-0.121663243,-0.131845316,-0.032922195,-0.437141164,-0.043098653,-0.399503295,0.031422854,-0.124723982,0.098110915,-0.067198956,0.136543121,0.0925598,0.136265046,0.141933199,0.096524471,0.044353662,0.036237252
19,Apidae,Amegilla,(Notomegilla),aeringinosa,0.429262406,0.067365119,0.284110306,0.034858296,0.254398953,-0.085161361,0.156619073,-0.159651331,-0.15160283,-0.186724281,-0.110870011,-0.127882836,-0.129644353,-0.042162712,-0.446427622,-0.050584654,-0.402617135,0.033254057,-0.116613894,0.097798832,-0.057440428,0.140516958,0.098318336,0.142264867,0.146003138,0.097414415,0.046504059,0.038694629
20,Apidae,Amegilla,(Notomegilla),aeringinosa,0.426639433,0.061893796,0.280381735,0.03634606,0.258945299,-0.093933668,0.160990727,-0.16931734,-0.139805306,-0.196031442,-0.09745262,-0.124052315,-0.129225687,-0.036248729,-0.435542142,-0.046708585,-0.411866604,0.03468564,-0.131342718,0.109181067,-0.065037758,0.147179696,0.093579512,0.143316462,0.147801638,0.095351338,0.041934491,0.03833802
21,Apidae,Amegilla,(Notomegilla),aeringinosa,0.434885037,0.060224073,0.281989895,0.042291676,0.257099062,-0.086459099,0.152157605,-0.168170241,-0.147111649,-0.202046892,-0.107564777,-0.131060184,-0.12665877,-0.049617131,-0.439614189,-0.043165044,-0.399095586,0.034897437,-0.12156,0.102998782,-0.06199023,0.144801887,0.087481514,0.148305365,0.141587636,0.104828746,0.048394453,0.042170627
22,Apidae,Amegilla,(Notomegilla),aeringinosa,0.432639014,0.069940684,0.28001249,0.039009231,0.262081264,-0.08531615,0.163212304,-0.16591398,-0.158855569,-0.192133414,-0.116995315,-0.133245295,-0.131347611,-0.045433601,-0.436454137,-0.041244353,-0.398444828,0.033194068,-0.12141589,0.09493308,-0.053620333,0.145060282,0.090438656,0.139145686,0.140082404,0.098626988,0.04866755,0.043376774
23,Apidae,Amegilla,(Notomegilla),aeringinosa,0.427246068,0.062350967,0.29730433,0.035632715,0.262508328,-0.084215522,0.150874713,-0.161350913,-0.149315355,-0.188469213,-0.11046305,-0.13057738,-0.128924323,-0.041477875,-0.437354325,-0.044641869,-0.399888126,0.029908294,-0.131577731,0.100241248,-0.065437697,0.142299648,0.095796937,0.141891845,0.145704002,0.100292895,0.043526231,0.038115161
24,Apidae,Amegilla,(Notomegilla),aeringinosa,0.432270444,0.063149878,0.284990838,0.038090132,0.259881296,-0.077546156,0.15681241,-0.150707962,-0.152713522,-0.188797179,-0.109852029,-0.125549722,-0.13471406,-0.037655891,-0.438262383,-0.043630202,-0.411717937,0.031109303,-0.122408813,0.092437451,-0.055949938,0.137705584,0.103708874,0.131707837,0.146040561,0.092245958,0.041914261,0.037440967
